CommonName,NDF-RT,ICD11Code,Drugs
Prosthetic joint infection,"['N0000007444', 'N0000146109', 'N0000147185', 'N0000147503', 'N0000146102', 'N0000146103']",14,"['MINOCYCLINE', 'DOXYCYCLINE', 'CEPHALEXIN', 'CIPROFLOXACIN', 'SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Prurigo mitis,['N0000147828'],14,['DOXEPIN']
Prurigo simplex,['N0000147828'],14,['DOXEPIN']
Pruritic disorder,"['N0000147784', 'N0000148122', 'N0000147816', 'N0000147939', 'N0000148345', 'N0000147828']",6,"['COLESTIPOL', 'FLUTICASONE PROPIONATE', 'DIPHENHYDRAMINE', 'NALTREXONE', 'GABAPENTIN', 'DOXEPIN']"
Pruritic rash,['N0000147828'],14,['DOXEPIN']
Pruritus ani,['N0000147828'],14,['DOXEPIN']
Pruritus due to systemic disorder,['N0000147828'],14,['DOXEPIN']
Psoriasis,"['N0000147916', 'N0000146229', 'N0000146249', 'N0000146291', 'N0000146334', 'N0000146409', 'N0000147064', 'N0000147069', 'N0000147149', 'N0000148406', 'N0000148580', 'N0000148586', 'N0000148590', 'N0000148789', 'N0000148372']",14,"['METHOTREXATE', 'PREDNISONE', 'SULFASALAZINE', 'HYDROCORTISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'CYCLOSPORINE', 'AZATHIOPRINE', 'NAPROXEN', 'MYCOPHENOLATE MOFETIL', 'INFLIXIMAB', 'LEFLUNOMIDE', 'ETANERCEPT', 'ADALIMUMAB', 'TACROLIMUS']"
Psychoactive substance withdrawal,['N0000006321'],17,['DIAZEPAM']
Psychomotor agitation,"['N0000146226', 'N0000148465', 'N0000148786']",21,"['CARBAMAZEPINE', 'OLANZAPINE', 'ARIPIPRAZOLE']"
Psychotic disorder,"['N0000146214', 'N0000146226', 'N0000146289']",6,"['CHLORPROMAZINE', 'CARBAMAZEPINE', 'PERPHENAZINE']"
Puerperal endometritis,['N0000146194'],18,['METRONIDAZOLE']
Pulmonary arterial hypertension,['N0000022115'],11,['SILDENAFIL']
Pulmonary aspergillosis,['N0000148767'],1,['VORICONAZOLE']
Pulmonary edema,"['N0000145909', 'N0000146183', 'N0000146188']",12,"['NITROGLYCERIN', 'ISOSORBIDE DINITRATE', 'FUROSEMIDE']"
Pulmonary embolism,"['N0000148057', 'N0000148343']",11,"['WARFARIN', 'ENOXAPARIN']"
Pulmonary emphysema,"['N0000147880', 'N0000147099', 'N0000182968']",12,"['IPRATROPIUM', 'ALBUTEROL', 'INDACATEROL']"
Pulmonary eosinophilia,['N0000146229'],4,['PREDNISONE']
Pulmonary eosinophilic granuloma,['N0000146334'],12,['PREDNISOLONE']
Pulmonary hypertension,"['N0000022115', 'N0000145909', 'N0000146183', 'N0000146717', 'N0000147814', 'N0000147869', 'N0000148829']",11,"['SILDENAFIL', 'NITROGLYCERIN', 'ISOSORBIDE DINITRATE', 'NIFEDIPINE', 'DILTIAZEM', 'HYDRALAZINE', 'TADALAFIL']"
Pulmonary tuberculosis,"['N0000146229', 'N0000147838']",1,"['PREDNISONE', 'ETHAMBUTOL']"
Pure red cell aplasia,"['N0000146229', 'N0000146452', 'N0000147064']",3,"['PREDNISONE', 'CYCLOPHOSPHAMIDE', 'CYCLOSPORINE']"
Pyelonephritis,['N0000147503'],16,['CIPROFLOXACIN']
Pyloric stenosis,['N0000147687'],1,['ATROPINE']
Pyoderma,['N0000146109'],11,['DOXYCYCLINE']
Q fever,"['N0000146102', 'N0000146103']",1,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Quaranfil fever,['N0000147871'],1,['HYDROXYCHLOROQUINE']
Queyrat's erythroplasia,['N0000146166'],2,['FLUOROURACIL']
REM sleep behavior disorder,['N0000146152'],7,['CLONAZEPAM']
Radiation proctitis,['N0000146291'],15,['HYDROCORTISONE']
Rapid atrial fibrillation,['N0000148010'],11,['QUINIDINE']
Raynaud's disease,"['N0000022115', 'N0000146717', 'N0000147814', 'N0000147852', 'N0000148116', 'N0000148333']",1,"['SILDENAFIL', 'NIFEDIPINE', 'DILTIAZEM', 'FLUOXETINE', 'FELODIPINE', 'AMLODIPINE']"
Raynaud's phenomenon,"['N0000145994', 'N0000148116']",8,"['CAPTOPRIL', 'FELODIPINE']"
Reactive arthritis triad,['N0000005766'],15,['MESALAMINE']
Recurrent brief depressive disorder,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Recurrent depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Recurrent gastrointestinal bleeding,['N0000148654'],X,['PANTOPRAZOLE']
Recurrent major depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Recurrent major depression in full remission,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Recurrent major depression in partial remission,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Recurrent major depression in remission,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Recurrent major depressive disorder with atypical features,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Recurrent major depressive disorder with catatonic features,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Recurrent major depressive disorder with melancholic features,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Recurrent major depressive episodes,"['N0000021906', 'N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['VENLAFAXINE', 'DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Recurrent major depressive episodes, mild","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Recurrent major depressive episodes, moderate","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Recurrent major depressive episodes, severe, with psychosis","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Rejection of intestine transplant,['N0000148372'],22,['TACROLIMUS']
Rejection of pancreas transplant,"['N0000147069', 'N0000148406', 'N0000148372']",13,"['AZATHIOPRINE', 'MYCOPHENOLATE MOFETIL', 'TACROLIMUS']"
Relapsing polychondritis,['N0000146229'],15,['PREDNISONE']
Renal cell carcinoma,['N0000180309'],2,['PAZOPANIB']
Renal osteodystrophy,['N0000020410'],8,['CALCIFEDIOL']
Renal transplant rejection,"['N0000146229', 'N0000147064', 'N0000147069', 'N0000148406', 'N0000148372', 'N0000148832']",22,"['PREDNISONE', 'CYCLOSPORINE', 'AZATHIOPRINE', 'MYCOPHENOLATE MOFETIL', 'TACROLIMUS', 'MYCOPHENOLIC ACID']"
Renal tubulo-interstitial disorder due to systemic lupus erythematosus,"['N0000146452', 'N0000147064', 'N0000147069', 'N0000148406', 'N0000148560']",4,"['CYCLOPHOSPHAMIDE', 'CYCLOSPORINE', 'AZATHIOPRINE', 'MYCOPHENOLATE MOFETIL', 'RITUXIMAB']"
Renovascular hypertension,"['N0000145994', 'N0000146717', 'N0000147835']",13,"['CAPTOPRIL', 'NIFEDIPINE', 'ENALAPRIL']"
Respiratory distress syndrome in the newborn,"['N0000148384', 'N0000147099']",19,"['BUDESONIDE', 'ALBUTEROL']"
Respiratory failure,"['N0000147880', 'N0000148706', 'N0000147099']",12,"['IPRATROPIUM', 'FORMOTEROL', 'ALBUTEROL']"
Respiratory syncytial virus infection,"['N0000147496', 'N0000147099']",X,"['RIBAVIRIN', 'ALBUTEROL']"
Respiratory tract infection,"['N0000007444', 'N0000146109', 'N0000147185']",4,"['MINOCYCLINE', 'DOXYCYCLINE', 'CEPHALEXIN']"
Restenotic lesion of coronary artery,"['N0000022046', 'N0000147602', 'N0000148200', 'N0000148255']",11,"['ATORVASTATIN', 'LOVASTATIN', 'SIMVASTATIN', 'PRAVASTATIN']"
Restless legs,"['N0000146151', 'N0000146152', 'N0000146226', 'N0000148345']",7,"['LEVODOPA', 'CLONAZEPAM', 'CARBAMAZEPINE', 'GABAPENTIN']"
Retained placenta,['N0000145909'],18,['NITROGLYCERIN']
Retinal vascular occlusion,['N0000148845'],24,['BEVACIZUMAB']
Retinoblastoma,"['N0000146452', 'N0000146476', 'N0000146478', 'N0000147598', 'N0000148056']",9,"['CYCLOPHOSPHAMIDE', 'CISPLATIN', 'ETOPOSIDE', 'CARBOPLATIN', 'VINCRISTINE']"
Retinopathy due to diabetes mellitus,"['N0000022046', 'N0000145994', 'N0000147537']",5,"['ATORVASTATIN', 'CAPTOPRIL', 'LISINOPRIL']"
Retinopathy of prematurity,['N0000148845'],9,['BEVACIZUMAB']
Reversal of neuromuscular blockade,['N0000147687'],8,['ATROPINE']
Rhabdomyosarcoma,"['N0000146452', 'N0000146478', 'N0000148056']",2,"['CYCLOPHOSPHAMIDE', 'ETOPOSIDE', 'VINCRISTINE']"
Rheumatic heart disease,"['N0000145980', 'N0000147185']",11,"['TRIAMCINOLONE', 'CEPHALEXIN']"
Rheumatoid arthritis,"['N0000006993', 'N0000007444', 'N0000145980', 'N0000146102', 'N0000146229', 'N0000146249', 'N0000146334', 'N0000147149', 'N0000147806', 'N0000147871', 'N0000147916', 'N0000148560', 'N0000148580', 'N0000148586', 'N0000148588', 'N0000148596', 'N0000148649', 'N0000148789', 'N0000145918', 'N0000146273', 'N0000147064', 'N0000147069', 'N0000148590', 'N0000148372', 'N0000147399']",15,"['IBUPROFEN', 'MINOCYCLINE', 'TRIAMCINOLONE', 'SULFAMETHOXAZOLE', 'PREDNISONE', 'SULFASALAZINE', 'PREDNISOLONE', 'NAPROXEN', 'DICLOFENAC', 'HYDROXYCHLOROQUINE', 'METHOTREXATE', 'RITUXIMAB', 'INFLIXIMAB', 'LEFLUNOMIDE', 'THALIDOMIDE', 'CELECOXIB', 'MELOXICAM', 'ADALIMUMAB', 'ASPIRIN', 'DEXAMETHASONE', 'CYCLOSPORINE', 'AZATHIOPRINE', 'ETANERCEPT', 'TACROLIMUS', 'FLURBIPROFEN']"
Rheumatoid vasculitis,['N0000146452'],4,['CYCLOPHOSPHAMIDE']
Rhinitis,"['N0000148384', 'N0000022122', 'N0000146229', 'N0000148122']",12,"['BUDESONIDE', 'MONTELUKAST', 'PREDNISONE', 'FLUTICASONE PROPIONATE']"
Right ventricular diastolic dysfunction,"['N0000145909', 'N0000145994', 'N0000146234', 'N0000146784', 'N0000147537', 'N0000147662', 'N0000147835', 'N0000147924', 'N0000148001', 'N0000148054', 'N0000148336', 'N0000148401', 'N0000148456', 'N0000148505', 'N0000148533', 'N0000148603', 'N0000148627', 'N0000176131']",11,"['NITROGLYCERIN', 'CAPTOPRIL', 'SPIRONOLACTONE', 'ATENOLOL', 'LISINOPRIL', 'RAMIPRIL', 'ENALAPRIL', 'METOPROLOL', 'PROPRANOLOL', 'VERAPAMIL', 'BENAZEPRIL', 'LOSARTAN', 'VALSARTAN', 'CARVEDILOL', 'IRBESARTAN', 'CANDESARTAN', 'PERINDOPRIL', 'NEBIVOLOL']"
Rocky Mountain spotted fever,['N0000146109'],1,['DOXYCYCLINE']
Rosacea,"['N0000146109', 'N0000146194']",1,"['DOXYCYCLINE', 'METRONIDAZOLE']"
Run of atrial premature complexes,['N0000148010'],11,['QUINIDINE']
Run of ventricular premature complexes,['N0000148010'],11,['QUINIDINE']
SLE glomerulonephritis syndrome,['N0000148832'],4,['MYCOPHENOLIC ACID']
Salmonella gastroenteritis,['N0000147503'],1,['CIPROFLOXACIN']
Salmonella infection,['N0000146102'],1,['SULFAMETHOXAZOLE']
Sarcoidosis,"['N0000146229', 'N0000148588', 'N0000146273', 'N0000146334', 'N0000146409', 'N0000147916', 'N0000148580', 'N0000148586', 'N0000148789']",4,"['PREDNISONE', 'THALIDOMIDE', 'DEXAMETHASONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'METHOTREXATE', 'INFLIXIMAB', 'LEFLUNOMIDE', 'ADALIMUMAB']"
Sarcoma,['N0000146476'],2,['CISPLATIN']
Sarcoma of kidney,['N0000180309'],16,['PAZOPANIB']
Sarcoma of soft tissue,"['N0000021986', 'N0000022036', 'N0000146476', 'N0000146478', 'N0000147829', 'N0000147916', 'N0000148055', 'N0000148056', 'N0000148441', 'N0000148638', 'N0000148698', 'N0000148845', 'N0000171744', 'N0000180309']",2,"['VINORELBINE', 'GEMCITABINE', 'CISPLATIN', 'ETOPOSIDE', 'DOXORUBICIN', 'METHOTREXATE', 'VINBLASTINE', 'VINCRISTINE', 'DOCETAXEL', 'EPIRUBICIN', 'IMATINIB', 'BEVACIZUMAB', 'SUNITINIB', 'PAZOPANIB']"
Sarcoma of uterus,"['N0000022036', 'N0000147829', 'N0000148638']",2,"['GEMCITABINE', 'DOXORUBICIN', 'EPIRUBICIN']"
Schizoaffective disorder,"['N0000147608', 'N0000148690']",6,"['CLOZAPINE', 'ZIPRASIDONE']"
Schizophrenia,"['N0000022085', 'N0000146214', 'N0000146289', 'N0000146461', 'N0000147608', 'N0000148350', 'N0000148465', 'N0000148690', 'N0000148786', 'N0000178412', 'N0000148031']",6,"['QUETIAPINE', 'CHLORPROMAZINE', 'PERPHENAZINE', 'HALOPERIDOL', 'CLOZAPINE', 'RISPERIDONE', 'OLANZAPINE', 'ZIPRASIDONE', 'ARIPIPRAZOLE', 'ILOPERIDONE', 'THIORIDAZINE']"
Sciatica,"['N0000021990', 'N0000145898', 'N0000147149', 'N0000147791', 'N0000147806', 'N0000148345']",6,"['TRAMADOL', 'ACETAMINOPHEN', 'NAPROXEN', 'CYCLOBENZAPRINE', 'DICLOFENAC', 'GABAPENTIN']"
Seasonal affective disorder,['N0000147738'],6,['BUPROPION']
Seasonal allergic rhinitis,"['N0000022010', 'N0000022047', 'N0000022057', 'N0000022122', 'N0000148122', 'N0000148306', 'N0000148729']",12,"['CETIRIZINE', 'AZELASTINE', 'FEXOFENADINE', 'MONTELUKAST', 'FLUTICASONE PROPIONATE', 'LORATADINE', 'DESLORATADINE']"
Seborrheic dermatitis,"['N0000146194', 'N0000146229', 'N0000146291', 'N0000021605']",14,"['METRONIDAZOLE', 'PREDNISONE', 'HYDROCORTISONE', 'TERBINAFINE']"
Secondary Raynaud's phenomenon,['N0000148829'],1,['TADALAFIL']
Secondary diabetes mellitus,['N0000146198'],5,['CHLORPROPAMIDE']
Secondary endocrine diabetes mellitus,['N0000146198'],5,['CHLORPROPAMIDE']
Secondary hypercholesterolemia,['N0000021914'],1,['FLUVASTATIN']
Secondary physiologic amenorrhea,['N0000147899'],1,['MEDROXYPROGESTERONE']
Sedation,"['N0000006321', 'N0000145810', 'N0000146205']",21,"['DIAZEPAM', 'PHENOBARBITAL', 'LORAZEPAM']"
Seizure,"['N0000006321', 'N0000146152', 'N0000146205', 'N0000146211']",8,"['DIAZEPAM', 'CLONAZEPAM', 'LORAZEPAM', 'PHENYTOIN']"
Seizure disorder,"['N0000146226', 'N0000023107', 'N0000145810', 'N0000146211', 'N0000147028', 'N0000148345', 'N0000148390', 'N0000148644']",6,"['CARBAMAZEPINE', 'PREGABALIN', 'PHENOBARBITAL', 'PHENYTOIN', 'VALPROIC ACID', 'GABAPENTIN', 'LAMOTRIGINE', 'LEVETIRACETAM']"
Seminoma of testis,['N0000147598'],16,['CARBOPLATIN']
Septic shock,['N0000146291'],1,['HYDROCORTISONE']
Serum sickness caused by drug,['N0000146229'],18,['PREDNISONE']
Severe chronic obstructive pulmonary disease,['N0000182968'],12,['INDACATEROL']
Severe depressed bipolar I disorder with psychotic features,['N0000148387'],6,['NEFAZODONE']
"Severe depressed bipolar I disorder with psychotic features, mood-congruent",['N0000148387'],6,['NEFAZODONE']
"Severe depressed bipolar I disorder with psychotic features, mood-incongruent",['N0000148387'],6,['NEFAZODONE']
Severe depressed bipolar I disorder without psychotic features,['N0000148387'],6,['NEFAZODONE']
Severe depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Severe major depression with psychotic features,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Severe major depression with psychotic features, mood-congruent","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Severe major depression with psychotic features, mood-incongruent","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Severe major depression without psychotic features,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Severe major depression, single episode, with psychotic features","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",1,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Severe major depression, single episode, with psychotic features, mood-congruent","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",1,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Severe major depression, single episode, with psychotic features, mood-incongruent","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",1,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Severe major depression, single episode, without psychotic features","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",1,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Severe pain,['N0000146207'],1,['CLONIDINE']
Severe recurrent major depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Severe recurrent major depression with psychotic features,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Severe recurrent major depression with psychotic features, mood-congruent","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Severe recurrent major depression with psychotic features, mood-incongruent","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Severe recurrent major depression without psychotic features,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Sexually transmitted infectious disease,['N0000146109'],13,['DOXYCYCLINE']
Sezary's disease,['N0000148244'],1,['FLUDARABINE']
Shigellosis,"['N0000146102', 'N0000146109', 'N0000146103']",1,"['SULFAMETHOXAZOLE', 'DOXYCYCLINE', 'TRIMETHOPRIM']"
Short QT syndrome,['N0000148010'],11,['QUINIDINE']
Sickling disorder due to hemoglobin S,"['N0000147049', 'N0000147955']",6,"['FENTANYL', 'OXYCODONE']"
Silent myocardial ischemia,"['N0000146183', 'N0000148333']",19,"['ISOSORBIDE DINITRATE', 'AMLODIPINE']"
Simple obesity,['N0000147910'],5,['METHAMPHETAMINE']
Single episode of major depression in full remission,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Single major depressive episode, severe, with psychosis","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Sinusitis,"['N0000022122', 'N0000146102', 'N0000146103', 'N0000146109', 'N0000146229', 'N0000146334', 'N0000147931', 'N0000148093', 'N0000148122', 'N0000148384']",12,"['MONTELUKAST', 'SULFAMETHOXAZOLE', 'TRIMETHOPRIM', 'DOXYCYCLINE', 'PREDNISONE', 'PREDNISOLONE', 'MOMETASONE', 'CLARITHROMYCIN', 'FLUTICASONE PROPIONATE', 'BUDESONIDE']"
Sitosterolemia,['N0000148785'],13,['EZETIMIBE']
Sjögren's syndrome,"['N0000146229', 'N0000147064']",4,"['PREDNISONE', 'CYCLOSPORINE']"
Skin and soft tissue atypical mycobacterial infection,['N0000146102'],14,['SULFAMETHOXAZOLE']
Sleep apnea,['N0000148602'],7,['MODAFINIL']
Sleep walking disorder,['N0000146152'],7,['CLONAZEPAM']
Small cell carcinoma of lung,"['N0000021986', 'N0000022032', 'N0000022036', 'N0000146452', 'N0000146476', 'N0000146478', 'N0000147598', 'N0000147829', 'N0000148056', 'N0000148314', 'N0000148441', 'N0000148638']",2,"['VINORELBINE', 'IRINOTECAN', 'GEMCITABINE', 'CYCLOPHOSPHAMIDE', 'CISPLATIN', 'ETOPOSIDE', 'CARBOPLATIN', 'DOXORUBICIN', 'VINCRISTINE', 'PACLITAXEL', 'DOCETAXEL', 'EPIRUBICIN']"
Smoking cessation assistance,"['N0000147738', 'N0000147946']",21,"['BUPROPION', 'NORTRIPTYLINE']"
Social phobia,"['N0000021906', 'N0000021981', 'N0000146152', 'N0000147852', 'N0000147875', 'N0000148257', 'N0000148335']",6,"['VENLAFAXINE', 'FLUVOXAMINE', 'CLONAZEPAM', 'FLUOXETINE', 'IMIPRAMINE', 'SERTRALINE', 'PAROXETINE']"
Soft tissue infection,['N0000007444'],3,['MINOCYCLINE']
Soft tissue injury,['N0000147149'],14,['NAPROXEN']
Spasm of back muscles,"['N0000006321', 'N0000147791']",15,"['DIAZEPAM', 'CYCLOBENZAPRINE']"
Spasm of cerebral arteries,['N0000148054'],8,['VERAPAMIL']
Spastic disorder of smooth muscle segment of esophagus,"['N0000145909', 'N0000146183']",6,"['NITROGLYCERIN', 'ISOSORBIDE DINITRATE']"
Spasticity,"['N0000006321', 'N0000006613']",13,"['DIAZEPAM', 'BACLOFEN']"
Spinal cord injury,"['N0000146409', 'N0000148025']",22,"['METHYLPREDNISOLONE', 'TERAZOSIN']"
Spinal stenosis,"['N0000021990', 'N0000145898', 'N0000145918', 'N0000147149', 'N0000147806', 'N0000146778']",3,"['TRAMADOL', 'ACETAMINOPHEN', 'ASPIRIN', 'NAPROXEN', 'DICLOFENAC', 'CARISOPRODOL']"
Spinal stenosis in cervical region,['N0000146778'],21,['CARISOPRODOL']
Spinal stenosis of lumbar region,['N0000146778'],21,['CARISOPRODOL']
Spinal stenosis of lumbosacral region,['N0000146778'],21,['CARISOPRODOL']
Spinal stenosis of thoracic region,['N0000146778'],21,['CARISOPRODOL']
"Spinal stenosis, excluding cervical region",['N0000146778'],21,['CARISOPRODOL']
Spondylitis,"['N0000146249', 'N0000148580', 'N0000148789']",15,"['SULFASALAZINE', 'INFLIXIMAB', 'ADALIMUMAB']"
Spondylolisthesis,"['N0000021990', 'N0000145898', 'N0000145918', 'N0000146409', 'N0000147149', 'N0000147806']",15,"['TRAMADOL', 'ACETAMINOPHEN', 'ASPIRIN', 'METHYLPREDNISOLONE', 'NAPROXEN', 'DICLOFENAC']"
Spongiotic dermatitis,"['N0000145980', 'N0000146229', 'N0000146291', 'N0000147069', 'N0000147916', 'N0000148372']",14,"['TRIAMCINOLONE', 'PREDNISONE', 'HYDROCORTISONE', 'AZATHIOPRINE', 'METHOTREXATE', 'TACROLIMUS']"
Sporotrichosis,['N0000021605'],1,['TERBINAFINE']
Sprue,['N0000147069'],1,['AZATHIOPRINE']
Squamous cell carcinoma in situ of skin,['N0000146166'],2,['FLUOROURACIL']
Squamous cell carcinoma of pharynx,['N0000148833'],2,['CETUXIMAB']
Squamous cell carcinoma of skin,['N0000148833'],2,['CETUXIMAB']
Stable angina,"['N0000145918', 'N0000146717', 'N0000147814', 'N0000148054', 'N0000148137', 'N0000148333']",24,"['ASPIRIN', 'NIFEDIPINE', 'DILTIAZEM', 'VERAPAMIL', 'ISOSORBIDE MONONITRATE', 'AMLODIPINE']"
Staphylococcal enterocolitis,['N0000148052'],1,['VANCOMYCIN']
Staphylococcal infection of skin,['N0000146109'],1,['DOXYCYCLINE']
Staphylococcal infectious disease,['N0000146932'],13,['RIFAMPIN']
Staphylococcal meningitis,['N0000146932'],1,['RIFAMPIN']
Status epilepticus,"['N0000006321', 'N0000145810', 'N0000146205', 'N0000147028']",8,"['DIAZEPAM', 'PHENOBARBITAL', 'LORAZEPAM', 'VALPROIC ACID']"
Steatosis of liver,['N0000022046'],13,['ATORVASTATIN']
Steinert myotonic dystrophy syndrome,['N0000146229'],4,['PREDNISONE']
Stenosis of lateral recess of lumbar spine,['N0000146778'],X,['CARISOPRODOL']
Stenosis of spinal canal at craniovertebral junction,['N0000146778'],21,['CARISOPRODOL']
Stenosis of spinal canal due to bone,['N0000146778'],21,['CARISOPRODOL']
Stenosis of spinal canal due to connective tissue,['N0000146778'],21,['CARISOPRODOL']
Stenosis of spinal canal due to intervertebral disc,['N0000146778'],15,['CARISOPRODOL']
Stenosis of spinal canal due to subluxation,['N0000146778'],21,['CARISOPRODOL']
Steroid-induced diabetes,['N0000146198'],5,['CHLORPROPAMIDE']
Stevens-Johnson syndrome,['N0000146229'],14,['PREDNISONE']
Stiff-person syndrome,['N0000006613'],4,['BACLOFEN']
Stomatitis,['N0000145980'],1,['TRIAMCINOLONE']
Streptococcal infectious disease,['N0000148052'],13,['VANCOMYCIN']
Streptococcal sore throat,"['N0000147185', 'N0000148093']",1,"['CEPHALEXIN', 'CLARITHROMYCIN']"
Streptococcus group B infection of the infant,['N0000148052'],3,['VANCOMYCIN']
Stricture of esophagus,['N0000147569'],2,['OMEPRAZOLE']
Subacute thyroiditis,['N0000146229'],10,['PREDNISONE']
Sudden cardiac death,['N0000147924'],11,['METOPROLOL']
Summer-type hypersensitivity pneumonitis,['N0000146229'],12,['PREDNISONE']
Superficial acne vulgaris,['N0000147467'],X,['DAPSONE']
Superficial basal cell carcinoma,['N0000146166'],X,['FLUOROURACIL']
Superficial inflammatory acne vulgaris,['N0000147467'],X,['DAPSONE']
Superficial mixed comedonal and inflammatory acne vulgaris,['N0000147467'],X,['DAPSONE']
Supraventricular arrhythmia,"['N0000021928', 'N0000146784', 'N0000147701', 'N0000148001', 'N0000147996', 'N0000148010']",11,"['BISOPROLOL', 'ATENOLOL', 'AMIODARONE', 'PROPRANOLOL', 'PROPAFENONE', 'QUINIDINE']"
Supraventricular premature beats,['N0000148010'],11,['QUINIDINE']
